"","Name","Team","Gm","season","Age","Salary","AAV","Sv%","AdSv%","SA60","TOI","Sv%L","Sv%M","Sv%H","G","S","Sh","G.L","S.L","G.M","S.M","G.H","S.H"
"masonst88-20132014","Steve.Mason","PHI",61,"20132014",25,"1.500","1.500",91.72,91.86,30.16,3483.4,96.15,94.5,79.95,145,1606,1751,32,799,27,464,86,343
"crawfco84-20102011","Corey.Crawford","CHI",57,"20102011",25,"0.850","0.800",91.72,92.54,27.79,3335.8,96.33,93.77,83.12,128,1417,1545,25,657,25,376,78,384
"rinnepe82-20082009","Pekka.Rinne","NSH",52,"20082009",25,"0.575","0.547",91.71,92.66,28.76,2994,97.2,93.37,82.14,119,1316,1435,17,591,27,380,75,345
"budajpe82-20092010","Peter.Budaj","COL",15,"20092010",26,"1.250","1.250",91.71,92.38,31.88,726.4,97.06,93.69,80.95,32,354,386,5,165,7,104,20,85
"vokouto76-20112012","Tomas.Vokoun","WSH",48,"20112012",35,"1.500","1.500",91.69,92.17,30.2,2581.2,97.31,94.74,78.49,108,1191,1299,17,615,17,306,74,270
"theodjo76-20112012","Jose.Theodore","FLA",53,"20112012",35,"1.500","1.500",91.68,92.2,29.57,3047.4,95.93,92.29,84.07,125,1377,1502,29,683,28,335,68,359
"macdojo80-20102011","Joey.MacDonald","DET",15,"20102011",30,"0.550","0.550",91.67,92.36,31,720.1,96.3,97.14,79.05,31,341,372,6,156,3,102,22,83
"enrotjh88-20112012","Jhonas.Enroth","BUF",26,"20112012",23,"0.625","0.675",91.67,92.08,32.44,1398.4,96,92.27,83.42,63,693,756,14,336,16,191,33,166
"bironma77-20122013","Martin.Biron","NYR",6,"20122013",35,"1.300","1.300",91.67,92.51,27.88,335.7,97.01,88.64,86.67,13,143,156,2,65,5,39,6,39
"andercr81-20092010","Craig.Anderson","COL",71,"20092010",28,"1.500","1.812",91.67,92.5,31.65,4233.5,97.52,91.82,82.32,186,2047,2233,25,982,48,539,113,526
"masonch76-20082009","Chris.Mason","STL",57,"20082009",32,"3.000","3.000",91.65,92.23,28.85,3211.1,96.23,91.6,84.2,129,1415,1544,25,638,40,436,64,341
"elliobr85-20142015","Brian.Elliott","STL",46,"20142015",29,"2.300","2.500",91.65,91.96,27.12,2544.2,96.53,93.91,80.14,96,1054,1150,18,500,21,324,57,230
"crawfco84-20132014","Corey.Crawford","CHI",59,"20132014",28,"2.500","2.667",91.65,92.08,27.12,3391.6,96.29,89.77,85.3,128,1405,1533,27,700,40,351,61,354
"bouchbr77-20082009","Brian.Boucher","S.J",22,"20082009",31,"0.650","0.650",91.65,92.23,26.18,1290.2,94.84,94.48,84.34,47,516,563,13,239,8,137,26,140
"priceca87-20112012","Carey.Price","MTL",65,"20112012",24,"3.000","2.750",91.64,92.49,29.16,3937.7,97.3,90.87,83.72,160,1754,1914,23,828,46,458,91,468
"lundqhe82-20082009","Henrik.Lundqvist","NYR",70,"20082009",26,"7.750","6.875",91.63,92.86,29.03,4147.6,97.63,93.25,82.16,168,1839,2007,19,784,40,553,109,502
"masonst88-20122013","Steve.Mason","CBJ/PHI",20,"20122013",24,"3.200","2.900",91.62,91.94,30.92,1088.7,96.9,92.73,80.43,47,514,561,8,250,12,153,27,111
"lehtoka83-20122013","Kari.Lehtonen","DAL",36,"20122013",28,"4.250","3.550",91.62,92.99,31.73,1985.6,97.23,94.05,82.76,88,962,1050,12,421,16,253,60,288
"brodema72-20092010","Martin.Brodeur","N.J",77,"20092010",37,"5.200","5.200",91.62,92.07,26.75,4495.7,95.74,91.82,84.39,168,1836,2004,39,877,45,505,84,454
"millery80-20112012","Ryan.Miller","BUF",61,"20112012",31,"6.250","6.250",91.61,92.5,30.36,3533.4,96.69,91.68,84.25,150,1638,1788,25,731,42,463,83,444
"brodema72-20082009","Martin.Brodeur","N.J",31,"20082009",36,"5.200","5.200",91.61,92.62,28.81,1811.9,97.7,92.66,81.61,73,797,870,9,382,16,202,48,213
"millery80-20102011","Ryan.Miller","BUF",66,"20102011",30,"6.250","6.250",91.6,92.51,30.81,3824.3,95.91,94.97,82.7,165,1799,1964,33,773,28,529,104,497
"kuempda90-20122013","Darcy.Kuemper","MIN",6,"20122013",22,"0.740","0.777",91.6,92.32,24.77,288.2,96.55,91.3,84.21,10,109,119,2,56,2,21,6,32
