"","Team","Gm","season","GF","GA","G+/-","CF%","CP60","OFOn%","OSh%","OSv%","FO%","PDO","ZSO%","HSCF%","HSC+/-","HSCF","HSCA","HSCF60","HSCA60","HSCP60","SCF%","SC+/-","SCF","SCA","SCF60","SCA60","SCP60","CF%","C+/-","CF","CA","CF60","CA60","CP60","FF%","F+/-","FF60","FA60","FF","FA","FP60","MSF","MSA","BSF","BSA","SF%","S+/-","SF60","SA60","SF","SA","GF60","GA60","GF%","OSh%","OFenSh%","OSv%","OCOn%","OFOn%","FO%","FO_W","FO_L","ZSO","ZSN","ZSD","HIT","HIT-","PN","PN-","PenD","TOI"
"33","TOR",82,"20092010",210,263,-53,52.4,118.4,70.5,7.9,89.2,50.8,97.1,54,50.1,6,1038,1032,12.4,12.4,24.8,51.6,159,2612,2453,31.3,29.4,60.7,52.4,473,5171,4698,62,56.3,118.4,52.1,308,45.4,41.7,3788,3480,87.2,1117,1039,1383,1218,52.2,230,32,29.3,2671,2441,2.5,3.2,44.4,7.9,5.5,89.2,51.7,70.5,50.8,2381,2303,1634,1658,1392,1777,1856,411,437,26,5003.2
"34","VAN",82,"20102011",258,180,78,52.5,112.4,72,9.8,92.7,54.9,102.5,51,51.1,43,1036,993,12.5,12,24.4,50.6,56,2347,2291,28.2,27.6,55.8,52.5,466,4901,4435,59,53.4,112.4,52,282,43.9,40.5,3646,3364,84.4,1022,894,1255,1071,51.5,154,31.6,29.7,2624,2470,3.1,2.2,58.9,9.8,7.1,92.7,53.5,72,54.9,2653,2183,1672,1557,1607,1791,1860,394,380,-14,4984.9
"35","STL",82,"20132014",239,188,51,52.7,105.3,70.1,9.9,91.3,51.9,101.3,51.8,53.1,99,856,757,10.3,9.1,19.3,52.1,172,2174,2002,26.1,24,50.1,52.7,466,4621,4155,55.4,49.8,105.3,53.1,395,41.1,36.4,3429,3034,77.5,1026,871,1192,1121,52.6,240,28.8,25.9,2403,2163,2.9,2.3,56,9.9,7,91.3,52,70.1,51.9,2536,2354,1707,1592,1591,1839,1780,422,411,-11,5002
"36","CHI",82,"20112012",241,231,10,52.6,106.7,73.7,9.3,90.1,50.5,99.5,54.5,50.7,27,942,915,11.3,10.9,22.2,52.5,220,2270,2050,27.2,24.5,51.7,52.6,466,4695,4229,56.2,50.6,106.7,52.3,305,41.9,38.3,3505,3200,80.2,922,857,1190,1029,52.4,240,30.9,28,2583,2343,2.9,2.8,51.1,9.3,6.9,90.1,55,73.7,50.5,2390,2338,1671,1661,1396,1500,2193,311,359,48,5016.2
"37","BOS",81,"20092010",195,187,8,52.6,106,73.5,7.6,92.3,52.6,99.9,50.6,51.8,65,935,870,11.3,10.5,21.8,50.8,71,2160,2089,26.1,25.2,51.3,52.6,456,4622,4166,55.8,50.3,106,52,274,42,38.7,3479,3205,80.7,922,786,1143,961,51.4,138,30.9,29.2,2557,2419,2.4,2.3,51,7.6,5.6,92.3,55.3,73.5,52.6,2403,2165,1534,1534,1500,1912,1885,364,359,-5,4972.5
"38","DET",82,"20142015",231,211,20,52.7,102.2,72.5,9.5,90.9,51.5,100.4,53.9,54.7,161,935,774,11.2,9.3,20.4,53.6,299,2246,1947,26.9,23.3,50.1,52.7,455,4499,4044,53.8,48.4,102.2,51.6,213,40.1,37.5,3350,3137,77.6,921,816,1149,907,51.1,108,29,27.8,2429,2321,2.8,2.5,52.3,9.5,6.9,90.9,54,72.5,51.5,2580,2434,1850,1579,1585,1569,1930,345,353,8,5017.2
"39","CHI",82,"20102011",252,220,32,52.2,108.6,74,9.6,90.7,50.8,100.2,53.7,49.4,-20,861,881,10.3,10.6,20.9,51.6,140,2220,2080,26.6,25,51.6,52.2,403,4728,4325,56.7,51.9,108.6,52.8,384,42.8,38.2,3565,3181,80.9,928,827,1163,1144,52.8,283,31.6,28.2,2637,2354,3,2.6,53.4,9.6,7.1,90.7,55.8,74,50.8,2414,2337,1678,1629,1444,1824,2215,310,334,24,5000.2
"40","PIT",81,"20092010",247,233,14,52.1,113.4,71.8,9.3,90,49.3,99.3,52.9,51.8,72,1017,945,12.4,11.5,23.9,52.5,243,2528,2285,30.7,27.8,58.5,52.1,401,4864,4463,59.2,54.3,113.4,52.8,397,44.9,40.1,3692,3295,85,1041,974,1172,1168,53.3,330,32.2,28.2,2651,2321,3,2.8,51.5,9.3,6.7,90,54.5,71.8,49.3,2323,2388,1615,1656,1440,2122,1842,460,455,-5,4932.9
"41","BOS",82,"20142015",209,201,8,52.1,110.3,71.7,8.2,91.8,53.6,100,50.5,53.1,111,954,843,11.4,10.1,21.5,51.7,152,2341,2189,28,26.1,54.1,52.1,397,4817,4420,57.5,52.8,110.3,51.3,177,42.4,40.3,3550,3373,82.7,1004,924,1267,1047,51,97,30.4,29.2,2546,2449,2.5,2.4,51,8.2,5.9,91.8,52.9,71.7,53.6,2686,2323,1730,1583,1696,2112,2296,317,284,-33,5025.3
"42","N.J",82,"20132014",197,195,2,52.6,92.1,72.6,9,90.7,47,99.6,51.7,54.5,141,853,712,10.2,8.5,18.7,52.5,192,2053,1861,24.6,22.3,46.8,52.6,396,4045,3649,48.4,43.7,92.1,52,232,36.3,33.5,3032,2800,69.8,832,711,1013,849,51.3,111,26.3,25,2200,2089,2.4,2.3,50.3,9,6.5,90.7,54.4,72.6,47,2174,2450,1549,1627,1448,1568,1899,300,281,-19,5014.6
"43","DET",48,"20122013",122,110,12,53.9,104,70.3,8.4,91.7,50.8,100.1,55.1,52.6,55,551,496,11.3,10.2,21.5,52.6,130,1310,1180,26.8,24.2,51,53.9,395,2735,2340,56.1,48,104,53.6,280,42.2,36.5,2060,1780,78.7,612,458,675,560,52.3,126,29.7,27.1,1448,1322,2.5,2.3,52.6,8.4,5.9,91.7,52.9,70.3,50.8,1387,1343,1049,825,856,865,1051,197,220,23,2927.7
"44","DAL",82,"20142015",257,257,0,52,118.3,68.2,10.1,89.5,51.7,99.6,51.7,52.4,98,1069,971,12.9,11.7,24.6,52.7,272,2611,2339,31.5,28.2,59.7,52,395,5103,4708,61.5,56.7,118.3,52,287,45.2,41.7,3748,3461,86.9,1191,1007,1355,1247,51,103,30.8,29.6,2557,2454,3.1,3.1,50,10.1,6.9,89.5,50.1,68.2,51.7,2803,2615,1864,1811,1743,1657,1819,330,366,36,4977.6
"45","CAR",82,"20082009",236,221,15,52,116.3,71.2,8.8,90.9,51.3,99.7,53.1,52.7,102,1002,900,12.1,10.8,22.9,50.9,89,2394,2305,28.8,27.7,56.5,52,393,5028,4635,60.5,55.8,116.3,52.2,317,45.2,41.4,3758,3441,86.6,1083,1022,1270,1194,52.5,256,32.2,29.1,2675,2419,2.8,2.7,51.6,8.8,6.3,90.9,53.2,71.2,51.3,2433,2309,1674,1589,1479,1716,1955,361,437,76,4986.1
"46","STL",82,"20102011",236,228,8,52.2,107.8,70.4,9.5,90,47.3,99.5,52.2,49.5,-18,901,919,10.8,11.1,21.9,50.3,22,2192,2170,26.4,26.1,52.5,52.2,388,4675,4287,56.2,51.6,107.8,52.5,330,42.3,38.3,3518,3188,80.7,1043,913,1157,1099,52.1,200,29.8,27.4,2475,2275,2.8,2.7,50.9,9.5,6.7,90,52.9,70.4,47.3,2180,2428,1583,1578,1447,1958,1872,428,429,1,4987.8
"47","N.J",82,"20102011",171,207,-36,52.4,95.4,73.7,7.3,90.4,51.2,97.7,52.5,49.8,-7,748,755,9,9.1,18.1,51.4,103,1931,1828,23.3,22,45.3,52.4,387,4149,3762,50,45.4,95.4,52.4,292,38.3,34.8,3179,2887,73.1,835,735,970,875,52.1,192,28.3,25.9,2344,2152,2.1,2.5,45.2,7.3,5.4,90.4,56.5,73.7,51.2,2186,2085,1461,1488,1322,1539,1585,303,302,-1,4975.9
"48","BOS",48,"20122013",127,106,21,53.5,112.4,71.8,8.2,92.3,56.4,100.4,49.1,51.3,28,571,543,11.7,11.1,22.9,53.5,191,1467,1276,30.1,26.2,56.3,53.5,382,2929,2547,60.1,52.3,112.4,53.3,271,44.5,38.9,2168,1897,83.4,611,523,761,650,53.1,183,32,28.2,1557,1374,2.6,2.2,54.5,8.2,5.9,92.3,53.2,71.8,56.4,1605,1241,942,926,978,1200,1289,222,178,-44,2923.1
"49","S.J",82,"20142015",224,226,-2,51.9,118.1,70.2,8.7,90.7,51.9,99.4,49.2,53.1,126,1079,953,13,11.5,24.5,52,189,2427,2238,29.2,27,56.2,51.9,378,5091,4713,61.3,56.8,118.1,51.9,265,44.4,41.2,3686,3421,85.6,1098,985,1405,1292,51.5,152,31.2,29.3,2588,2436,2.7,2.7,49.8,8.7,6.1,90.7,50.8,70.2,51.9,2695,2498,1768,1602,1823,1930,2087,305,338,33,4980
